id,name,category,company,price,description
75,Fluconazole 258,Analgesic,LipiCare,293.5,Fluconazole 258 is used for analgesic.
76,Ranitidine 292,Antihistamine,AllergyFree,356.79,Ranitidine 292 is used for antihistamine.
77,Salbutamol 803,Antifungal,Glucure,54.47,Salbutamol 803 is used for antifungal.
78,Cetirizine 867,Analgesic,ProHealth,117.65,Cetirizine 867 is used for analgesic.
79,Fluconazole 288,Bronchodilator,WellnessPlus,131.78,Fluconazole 288 is used for bronchodilator.
80,Levocetirizine 403,Anti-inflammatory,HealthCorp,47.45,Levocetirizine 403 is used for anti-inflammatory.
81,Atorvastatin 787,Antacid,MedLife,83.26,Atorvastatin 787 is used for antacid.
82,Ranitidine 586,Diabetes,LipiCare,427.95,Ranitidine 586 is used for diabetes.
83,Amoxicillin 198,Analgesic,CureLabs,230.72,Amoxicillin 198 is used for analgesic.
84,Paracetamol 523,Antifungal,Glucure,349.24,Paracetamol 523 is used for antifungal.
85,Fluconazole 229,Antihistamine,AllergyFree,100.11,Fluconazole 229 is used for antihistamine.
86,Fluconazole 177,Antibiotic,MedPharma,392.39,Fluconazole 177 is used for antibiotic.
87,Ranitidine 621,Diabetes,HealthCorp,334.83,Ranitidine 621 is used for diabetes.
88,Ibuprofen 955,Antihistamine,AllergyFree,328.31,Ibuprofen 955 is used for antihistamine.
89,Diclofenac 401,Antacid,LipiCare,269.27,Diclofenac 401 is used for antacid.
90,Levocetirizine 419,Bronchodilator,AllergyFree,265.8,Levocetirizine 419 is used for bronchodilator.
91,Levocetirizine 623,Antihistamine,MedPharma,62.5,Levocetirizine 623 is used for antihistamine.
92,Cetirizine 976,Antacid,BreathWell,254.99,Cetirizine 976 is used for antacid.
93,Loratadine 409,Bronchodilator,AllergyFree,187.47,Loratadine 409 is used for bronchodilator.
94,Ibuprofen 261,Diabetes,AllergyFree,108.61,Ibuprofen 261 is used for diabetes.
95,Diclofenac 617,Cholesterol,HealthCorp,105.65,Diclofenac 617 is used for cholesterol.
96,Omeprazole 345,Antihistamine,HealthCorp,393.63,Omeprazole 345 is used for antihistamine.
97,Metformin 814,Diabetes,ProHealth,236.58,Metformin 814 is used for diabetes.
98,Levocetirizine 167,Analgesic,HealthCorp,401.3,Levocetirizine 167 is used for analgesic.
99,Salbutamol 179,Antibiotic,AllergyFree,492.81,Salbutamol 179 is used for antibiotic.
100,Diclofenac 564,Antacid,ProHealth,281.86,Diclofenac 564 is used for antacid.
101,Ranitidine 415,Antifungal,Glucure,319.88,Ranitidine 415 is used for antifungal.
102,Loratadine 966,Antifungal,MedPharma,420.58,Loratadine 966 is used for antifungal.
103,Ibuprofen 430,Antibiotic,BreathWell,395.36,Ibuprofen 430 is used for antibiotic.
104,Atorvastatin 354,Antacid,BreathWell,278.04,Atorvastatin 354 is used for antacid.
105,Paracetamol 274,Bronchodilator,ProHealth,180.66,Paracetamol 274 is used for bronchodilator.
106,Ranitidine 517,Bronchodilator,WellnessPlus,372.75,Ranitidine 517 is used for bronchodilator.
107,Amoxicillin 546,Antifungal,BreathWell,360.16,Amoxicillin 546 is used for antifungal.
108,Cetirizine 281,Cholesterol,HealthCorp,256.4,Cetirizine 281 is used for cholesterol.
109,Cetirizine 137,Antibiotic,CureLabs,419.91,Cetirizine 137 is used for antibiotic.
110,Salbutamol 583,Bronchodilator,LipiCare,298.01,Salbutamol 583 is used for bronchodilator.
111,Salbutamol 888,Anti-inflammatory,BreathWell,410.93,Salbutamol 888 is used for anti-inflammatory.
112,Metformin 920,Antifungal,BreathWell,473.29,Metformin 920 is used for antifungal.
113,Salbutamol 181,Antifungal,WellnessPlus,57.05,Salbutamol 181 is used for antifungal.
114,Diclofenac 630,Anti-inflammatory,LipiCare,443.86,Diclofenac 630 is used for anti-inflammatory.
115,Ranitidine 248,Bronchodilator,HealthCorp,93.22,Ranitidine 248 is used for bronchodilator.
116,Fluconazole 618,Antihistamine,HealthCorp,64.72,Fluconazole 618 is used for antihistamine.
117,Cetirizine 167,Bronchodilator,BreathWell,187.72,Cetirizine 167 is used for bronchodilator.
118,Metformin 886,Antacid,WellnessPlus,148.37,Metformin 886 is used for antacid.
119,Diclofenac 224,Anti-inflammatory,MedLife,45.84,Diclofenac 224 is used for anti-inflammatory.
120,Ranitidine 846,Antihistamine,HealthCorp,223.5,Ranitidine 846 is used for antihistamine.
121,Fluconazole 668,Antacid,AllergyFree,240.84,Fluconazole 668 is used for antacid.
122,Atorvastatin 400,Anti-inflammatory,MedLife,443.56,Atorvastatin 400 is used for anti-inflammatory.
123,Azithromycin 452,Diabetes,HealthCorp,258.21,Azithromycin 452 is used for diabetes.
124,Clindamycin 128,Anti-inflammatory,Glucure,446.5,Clindamycin 128 is used for anti-inflammatory.
125,Diclofenac 817,Antibiotic,CureLabs,139.25,Diclofenac 817 is used for antibiotic.
126,Salbutamol 744,Antihistamine,BreathWell,463.31,Salbutamol 744 is used for antihistamine.
127,Ibuprofen 773,Antihistamine,MedPharma,227.35,Ibuprofen 773 is used for antihistamine.
128,Ibuprofen 130,Cholesterol,Glucure,447.39,Ibuprofen 130 is used for cholesterol.
129,Ranitidine 643,Analgesic,MedPharma,131.77,Ranitidine 643 is used for analgesic.
130,Cetirizine 173,Antacid,AllergyFree,201.95,Cetirizine 173 is used for antacid.
131,Amoxicillin 831,Anti-inflammatory,MedPharma,212.57,Amoxicillin 831 is used for anti-inflammatory.
132,Cetirizine 714,Antacid,ProHealth,332.85,Cetirizine 714 is used for antacid.
133,Atorvastatin 200,Analgesic,HealthCorp,456.44,Atorvastatin 200 is used for analgesic.
134,Azithromycin 338,Analgesic,MedLife,64.63,Azithromycin 338 is used for analgesic.
135,Salbutamol 908,Diabetes,LipiCare,130.76,Salbutamol 908 is used for diabetes.
136,Atorvastatin 767,Antifungal,CureLabs,149.79,Atorvastatin 767 is used for antifungal.
137,Levocetirizine 866,Analgesic,CureLabs,190.76,Levocetirizine 866 is used for analgesic.
138,Levocetirizine 537,Antifungal,LipiCare,48.38,Levocetirizine 537 is used for antifungal.
139,Metformin 909,Bronchodilator,LipiCare,489.43,Metformin 909 is used for bronchodilator.
140,Levocetirizine 723,Cholesterol,Glucure,107.0,Levocetirizine 723 is used for cholesterol.
141,Metformin 172,Bronchodilator,ProHealth,63.03,Metformin 172 is used for bronchodilator.
142,Loratadine 836,Antacid,LipiCare,20.84,Loratadine 836 is used for antacid.
143,Cetirizine 840,Anti-inflammatory,MedLife,72.75,Cetirizine 840 is used for anti-inflammatory.
144,Cetirizine 397,Anti-inflammatory,CureLabs,49.4,Cetirizine 397 is used for anti-inflammatory.
145,Metformin 951,Antacid,BreathWell,256.38,Metformin 951 is used for antacid.
146,Levocetirizine 541,Antifungal,MedPharma,492.66,Levocetirizine 541 is used for antifungal.
147,Clindamycin 310,Analgesic,LipiCare,56.29,Clindamycin 310 is used for analgesic.
148,Clindamycin 968,Antacid,AllergyFree,31.71,Clindamycin 968 is used for antacid.
149,Omeprazole 294,Bronchodilator,ProHealth,223.02,Omeprazole 294 is used for bronchodilator.
150,Ibuprofen 908,Cholesterol,HealthCorp,276.79,Ibuprofen 908 is used for cholesterol.
151,Azithromycin 310,Analgesic,LipiCare,141.79,Azithromycin 310 is used for analgesic.
152,Ibuprofen 515,Anti-inflammatory,AllergyFree,174.39,Ibuprofen 515 is used for anti-inflammatory.
153,Cetirizine 826,Antibiotic,WellnessPlus,375.51,Cetirizine 826 is used for antibiotic.
154,Paracetamol 579,Antifungal,WellnessPlus,372.27,Paracetamol 579 is used for antifungal.
155,Salbutamol 134,Bronchodilator,AllergyFree,400.85,Salbutamol 134 is used for bronchodilator.
156,Paracetamol 966,Anti-inflammatory,CureLabs,270.91,Paracetamol 966 is used for anti-inflammatory.
157,Fluconazole 428,Antibiotic,HealthCorp,210.8,Fluconazole 428 is used for antibiotic.
158,Levocetirizine 556,Antihistamine,AllergyFree,392.32,Levocetirizine 556 is used for antihistamine.
159,Ranitidine 960,Diabetes,ProHealth,491.24,Ranitidine 960 is used for diabetes.
160,Amoxicillin 343,Anti-inflammatory,ProHealth,403.17,Amoxicillin 343 is used for anti-inflammatory.
161,Ranitidine 839,Antifungal,LipiCare,278.15,Ranitidine 839 is used for antifungal.
162,Fluconazole 903,Antifungal,LipiCare,146.86,Fluconazole 903 is used for antifungal.
163,Azithromycin 423,Cholesterol,ProHealth,164.86,Azithromycin 423 is used for cholesterol.
164,Salbutamol 502,Antacid,MedLife,263.01,Salbutamol 502 is used for antacid.
165,Ranitidine 137,Antihistamine,AllergyFree,81.05,Ranitidine 137 is used for antihistamine.
166,Ranitidine 328,Anti-inflammatory,CureLabs,433.57,Ranitidine 328 is used for anti-inflammatory.
167,Diclofenac 624,Antibiotic,MedLife,306.72,Diclofenac 624 is used for antibiotic.
168,Diclofenac 233,Antibiotic,ProHealth,491.63,Diclofenac 233 is used for antibiotic.
169,Amoxicillin 671,Diabetes,MedLife,264.57,Amoxicillin 671 is used for diabetes.
170,Levocetirizine 868,Antifungal,BreathWell,364.36,Levocetirizine 868 is used for antifungal.
171,Cetirizine 720,Antifungal,WellnessPlus,283.77,Cetirizine 720 is used for antifungal.
172,Salbutamol 613,Antibiotic,AllergyFree,343.48,Salbutamol 613 is used for antibiotic.
173,Diclofenac 305,Antihistamine,LipiCare,433.74,Diclofenac 305 is used for antihistamine.
174,Fluconazole 229,Diabetes,CureLabs,392.49,Fluconazole 229 is used for diabetes.
175,Clindamycin 230,Antifungal,MedPharma,236.6,Clindamycin 230 is used for antifungal.
176,Levocetirizine 290,Antifungal,BreathWell,355.39,Levocetirizine 290 is used for antifungal.
177,Levocetirizine 414,Diabetes,MedLife,328.33,Levocetirizine 414 is used for diabetes.
178,Ibuprofen 298,Antifungal,WellnessPlus,141.52,Ibuprofen 298 is used for antifungal.
179,Ranitidine 451,Antacid,CureLabs,178.16,Ranitidine 451 is used for antacid.
180,Omeprazole 208,Antibiotic,BreathWell,132.82,Omeprazole 208 is used for antibiotic.
181,Levocetirizine 713,Analgesic,WellnessPlus,366.29,Levocetirizine 713 is used for analgesic.
182,Paracetamol 945,Antihistamine,CureLabs,379.4,Paracetamol 945 is used for antihistamine.
183,Atorvastatin 175,Antifungal,HealthCorp,53.95,Atorvastatin 175 is used for antifungal.
184,Fluconazole 462,Antihistamine,WellnessPlus,455.05,Fluconazole 462 is used for antihistamine.
185,Metformin 536,Antibiotic,CureLabs,437.43,Metformin 536 is used for antibiotic.
186,Metformin 379,Cholesterol,Glucure,176.3,Metformin 379 is used for cholesterol.
187,Levocetirizine 748,Diabetes,CureLabs,281.65,Levocetirizine 748 is used for diabetes.
188,Salbutamol 635,Antacid,LipiCare,95.16,Salbutamol 635 is used for antacid.
189,Ranitidine 586,Analgesic,MedLife,364.86,Ranitidine 586 is used for analgesic.
190,Ibuprofen 108,Antibiotic,CureLabs,347.88,Ibuprofen 108 is used for antibiotic.
191,Fluconazole 598,Cholesterol,MedPharma,498.23,Fluconazole 598 is used for cholesterol.
192,Salbutamol 273,Anti-inflammatory,HealthCorp,153.13,Salbutamol 273 is used for anti-inflammatory.
193,Clindamycin 447,Antacid,AllergyFree,182.38,Clindamycin 447 is used for antacid.
194,Ranitidine 952,Antifungal,HealthCorp,96.31,Ranitidine 952 is used for antifungal.
195,Levocetirizine 752,Cholesterol,CureLabs,264.03,Levocetirizine 752 is used for cholesterol.
196,Loratadine 612,Antibiotic,HealthCorp,162.61,Loratadine 612 is used for antibiotic.
197,Azithromycin 386,Antifungal,MedPharma,109.46,Azithromycin 386 is used for antifungal.
198,Loratadine 691,Anti-inflammatory,Glucure,254.42,Loratadine 691 is used for anti-inflammatory.
199,Azithromycin 455,Diabetes,MedPharma,155.53,Azithromycin 455 is used for diabetes.
200,Azithromycin 409,Anti-inflammatory,Glucure,138.5,Azithromycin 409 is used for anti-inflammatory.
201,Clindamycin 203,Anti-inflammatory,CureLabs,176.78,Clindamycin 203 is used for anti-inflammatory.
202,Loratadine 250,Antacid,HealthCorp,162.7,Loratadine 250 is used for antacid.
203,Azithromycin 487,Antifungal,BreathWell,305.61,Azithromycin 487 is used for antifungal.
204,Atorvastatin 816,Analgesic,MedLife,265.93,Atorvastatin 816 is used for analgesic.
205,Atorvastatin 667,Cholesterol,BreathWell,210.52,Atorvastatin 667 is used for cholesterol.
206,Omeprazole 598,Antibiotic,MedPharma,458.83,Omeprazole 598 is used for antibiotic.
207,Levocetirizine 390,Antihistamine,ProHealth,259.16,Levocetirizine 390 is used for antihistamine.
208,Cetirizine 716,Anti-inflammatory,BreathWell,291.0,Cetirizine 716 is used for anti-inflammatory.
209,Azithromycin 905,Antihistamine,BreathWell,419.65,Azithromycin 905 is used for antihistamine.
210,Ibuprofen 619,Antacid,HealthCorp,392.61,Ibuprofen 619 is used for antacid.
211,Ibuprofen 340,Antifungal,HealthCorp,94.59,Ibuprofen 340 is used for antifungal.
212,Azithromycin 335,Anti-inflammatory,WellnessPlus,405.42,Azithromycin 335 is used for anti-inflammatory.
213,Azithromycin 372,Bronchodilator,WellnessPlus,171.55,Azithromycin 372 is used for bronchodilator.
214,Ranitidine 257,Diabetes,AllergyFree,231.35,Ranitidine 257 is used for diabetes.
215,Atorvastatin 240,Antihistamine,MedLife,49.51,Atorvastatin 240 is used for antihistamine.
216,Ibuprofen 837,Antacid,ProHealth,329.59,Ibuprofen 837 is used for antacid.
217,Loratadine 391,Analgesic,LipiCare,464.84,Loratadine 391 is used for analgesic.
218,Loratadine 355,Antibiotic,LipiCare,469.66,Loratadine 355 is used for antibiotic.
219,Atorvastatin 187,Cholesterol,MedPharma,79.91,Atorvastatin 187 is used for cholesterol.
220,Ibuprofen 432,Diabetes,MedPharma,223.94,Ibuprofen 432 is used for diabetes.
221,Loratadine 925,Antibiotic,LipiCare,441.67,Loratadine 925 is used for antibiotic.
222,Fluconazole 644,Analgesic,Glucure,428.34,Fluconazole 644 is used for analgesic.
223,Azithromycin 198,Cholesterol,LipiCare,434.79,Azithromycin 198 is used for cholesterol.
224,Ranitidine 320,Antibiotic,HealthCorp,262.19,Ranitidine 320 is used for antibiotic.
225,Metformin 621,Antacid,BreathWell,450.53,Metformin 621 is used for antacid.
226,Ibuprofen 909,Cholesterol,AllergyFree,285.88,Ibuprofen 909 is used for cholesterol.
227,Cetirizine 356,Antihistamine,MedPharma,39.81,Cetirizine 356 is used for antihistamine.
228,Ibuprofen 991,Antibiotic,AllergyFree,410.42,Ibuprofen 991 is used for antibiotic.
229,Fluconazole 430,Antihistamine,HealthCorp,461.83,Fluconazole 430 is used for antihistamine.
230,Levocetirizine 744,Antacid,AllergyFree,26.78,Levocetirizine 744 is used for antacid.
231,Fluconazole 842,Cholesterol,MedPharma,283.76,Fluconazole 842 is used for cholesterol.
232,Levocetirizine 641,Anti-inflammatory,Glucure,46.91,Levocetirizine 641 is used for anti-inflammatory.
233,Omeprazole 946,Diabetes,Glucure,378.81,Omeprazole 946 is used for diabetes.
234,Ranitidine 380,Diabetes,CureLabs,376.82,Ranitidine 380 is used for diabetes.
235,Levocetirizine 154,Bronchodilator,ProHealth,217.14,Levocetirizine 154 is used for bronchodilator.
236,Metformin 777,Antihistamine,MedLife,94.95,Metformin 777 is used for antihistamine.
237,Cetirizine 399,Antihistamine,WellnessPlus,129.65,Cetirizine 399 is used for antihistamine.
238,Atorvastatin 744,Antifungal,LipiCare,252.87,Atorvastatin 744 is used for antifungal.
239,Cetirizine 854,Antihistamine,MedLife,200.8,Cetirizine 854 is used for antihistamine.
240,Ranitidine 108,Cholesterol,Glucure,250.74,Ranitidine 108 is used for cholesterol.
241,Salbutamol 902,Antibiotic,MedPharma,173.27,Salbutamol 902 is used for antibiotic.
242,Cetirizine 499,Diabetes,LipiCare,101.64,Cetirizine 499 is used for diabetes.
243,Atorvastatin 691,Analgesic,MedLife,168.37,Atorvastatin 691 is used for analgesic.
244,Atorvastatin 334,Antifungal,HealthCorp,401.63,Atorvastatin 334 is used for antifungal.
245,Fluconazole 653,Anti-inflammatory,CureLabs,166.7,Fluconazole 653 is used for anti-inflammatory.
246,Fluconazole 429,Bronchodilator,AllergyFree,50.62,Fluconazole 429 is used for bronchodilator.
247,Atorvastatin 107,Antacid,Glucure,118.45,Atorvastatin 107 is used for antacid.
248,Ibuprofen 557,Cholesterol,WellnessPlus,266.0,Ibuprofen 557 is used for cholesterol.
249,Clindamycin 113,Antihistamine,AllergyFree,99.3,Clindamycin 113 is used for antihistamine.
250,Atorvastatin 553,Diabetes,Glucure,89.25,Atorvastatin 553 is used for diabetes.
251,Metformin 157,Antibiotic,ProHealth,38.05,Metformin 157 is used for antibiotic.
252,Atorvastatin 217,Diabetes,MedPharma,106.94,Atorvastatin 217 is used for diabetes.
253,Diclofenac 228,Diabetes,BreathWell,153.21,Diclofenac 228 is used for diabetes.
254,Omeprazole 663,Antihistamine,CureLabs,127.89,Omeprazole 663 is used for antihistamine.
255,Loratadine 468,Antifungal,LipiCare,151.95,Loratadine 468 is used for antifungal.
256,Azithromycin 128,Antifungal,LipiCare,42.84,Azithromycin 128 is used for antifungal.
257,Diclofenac 825,Diabetes,WellnessPlus,413.25,Diclofenac 825 is used for diabetes.
258,Azithromycin 499,Cholesterol,CureLabs,385.85,Azithromycin 499 is used for cholesterol.
259,Salbutamol 234,Antihistamine,ProHealth,421.91,Salbutamol 234 is used for antihistamine.
260,Loratadine 799,Antibiotic,LipiCare,296.85,Loratadine 799 is used for antibiotic.
261,Azithromycin 476,Antacid,LipiCare,373.85,Azithromycin 476 is used for antacid.
262,Ibuprofen 309,Antacid,HealthCorp,108.95,Ibuprofen 309 is used for antacid.
263,Diclofenac 695,Analgesic,ProHealth,478.19,Diclofenac 695 is used for analgesic.
264,Fluconazole 235,Antifungal,AllergyFree,295.58,Fluconazole 235 is used for antifungal.
265,Loratadine 758,Diabetes,Glucure,195.56,Loratadine 758 is used for diabetes.
266,Metformin 614,Antibiotic,MedPharma,231.26,Metformin 614 is used for antibiotic.
267,Ranitidine 756,Cholesterol,LipiCare,365.83,Ranitidine 756 is used for cholesterol.
268,Fluconazole 125,Antacid,LipiCare,392.47,Fluconazole 125 is used for antacid.
269,Diclofenac 519,Antibiotic,MedLife,444.25,Diclofenac 519 is used for antibiotic.
270,Amoxicillin 139,Antihistamine,CureLabs,40.43,Amoxicillin 139 is used for antihistamine.
271,Ibuprofen 196,Analgesic,WellnessPlus,266.86,Ibuprofen 196 is used for analgesic.
272,Paracetamol 358,Antihistamine,Glucure,156.58,Paracetamol 358 is used for antihistamine.
273,Diclofenac 444,Antihistamine,AllergyFree,69.18,Diclofenac 444 is used for antihistamine.
274,Azithromycin 933,Antibiotic,AllergyFree,262.9,Azithromycin 933 is used for antibiotic.
275,Diclofenac 309,Anti-inflammatory,BreathWell,222.66,Diclofenac 309 is used for anti-inflammatory.
276,Ibuprofen 541,Antacid,BreathWell,194.33,Ibuprofen 541 is used for antacid.
277,Fluconazole 139,Cholesterol,AllergyFree,396.68,Fluconazole 139 is used for cholesterol.
278,Fluconazole 216,Bronchodilator,ProHealth,199.56,Fluconazole 216 is used for bronchodilator.
279,Paracetamol 240,Analgesic,BreathWell,433.98,Paracetamol 240 is used for analgesic.
280,Ranitidine 576,Antifungal,MedLife,104.75,Ranitidine 576 is used for antifungal.
281,Atorvastatin 941,Cholesterol,MedPharma,411.44,Atorvastatin 941 is used for cholesterol.
282,Cetirizine 360,Cholesterol,ProHealth,53.41,Cetirizine 360 is used for cholesterol.
283,Levocetirizine 639,Analgesic,CureLabs,363.8,Levocetirizine 639 is used for analgesic.
284,Levocetirizine 870,Antifungal,MedPharma,238.95,Levocetirizine 870 is used for antifungal.
285,Clindamycin 995,Analgesic,LipiCare,124.47,Clindamycin 995 is used for analgesic.
286,Omeprazole 626,Antihistamine,CureLabs,289.56,Omeprazole 626 is used for antihistamine.
287,Azithromycin 484,Bronchodilator,ProHealth,146.33,Azithromycin 484 is used for bronchodilator.
288,Ranitidine 921,Analgesic,ProHealth,70.6,Ranitidine 921 is used for analgesic.
289,Azithromycin 402,Antifungal,ProHealth,491.36,Azithromycin 402 is used for antifungal.
290,Diclofenac 580,Analgesic,HealthCorp,210.06,Diclofenac 580 is used for analgesic.
291,Metformin 414,Antifungal,WellnessPlus,245.39,Metformin 414 is used for antifungal.
292,Ranitidine 505,Antacid,WellnessPlus,354.75,Ranitidine 505 is used for antacid.
293,Fluconazole 611,Bronchodilator,LipiCare,476.15,Fluconazole 611 is used for bronchodilator.
294,Cetirizine 783,Antifungal,MedLife,434.33,Cetirizine 783 is used for antifungal.
295,Atorvastatin 829,Anti-inflammatory,Glucure,275.84,Atorvastatin 829 is used for anti-inflammatory.
296,Ranitidine 376,Antibiotic,ProHealth,419.05,Ranitidine 376 is used for antibiotic.
